rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017,rt1_2018,rt1_2019,rt1_2020
2938.1,2861.84,2506.27,2410.81,2838.82,57856.3,4488.32,3975.98,3129.38,2374.44,1804.92,1971.02,2451.54,3111.83,50058.7,3645.08,5707.87,5623.65,4823.57,8759.87,5996.96,7827.6,4015.57,5047.49,4459.72,3043.94,3986.48,4178.73,15093.9,28641.4,2705.64,3144.05,8093.1,12075.9,2640.21,1554.64,1374.34,1674.45,2928.55,1473.49,1299.99,1110.36,1106.81,4161.48,5084.33,2242.6,1449.63,970.316,838.457,965.309,2515.56,6590.74,3851.64,2069.05,1691.56,1731.82,1798.56,1529.27,1522.51,1768.85,4781.27,3022,2675.02
1819.69,2178.96,2242.71,3707.74,1264.26,45691.6,669.069,3197.63,4065.77,1001.38,1673.99,1610.88,969.992,2509.95,36610.7,1364.08,7943.74,5733.9,1790.07,7541.32,6210.12,4168.6,1910.2,1727.78,7458.79,1966.74,3762.52,1244.82,12937.7,25505,1960.73,1393.93,6265.49,10574.2,3788.12,1754.99,742.972,378.587,655.134,1397.75,708.757,744.29,887.553,2653.7,2635.46,1320.2,2007.7,165.099,665.775,859.535,1181.81,5334.76,1524.71,1017.78,2376.44,1053.44,865.97,768.487,1236.91,1446.39,3806.56,1440.72,1477.29
3008.37,1466.53,6137.2,2450.57,1031.99,54487.2,868.754,692.082,4282.19,4741.22,674.289,1257.97,3106.34,746.012,38132.6,4318.35,4516.38,2516.04,6498.73,8221.94,6480.78,2925.03,8726.72,4329.17,6228.61,1381.44,3671.76,2730.2,4880.36,41478.5,511.422,2034.8,5976.75,11180.6,1554.52,596.866,712.717,2121.7,4601.61,1503.7,1066.26,1356.46,961.215,3702.77,3502.21,2934.3,1827.8,1149.67,471.311,832.143,1437.35,7099.67,3701.84,1040.57,2707.87,1281.61,1667.29,798.337,1627.21,1091,4295.23,4571.64,1295.71
1878.1,1190.14,1132.9,3509.4,2018.21,49143.1,1422.13,11144.6,2488.76,1036.38,2010.81,1287.79,4061.25,1603.36,51875.5,2060.68,2048.41,13025.3,2926.77,5993.95,2138.96,16980.6,1446.57,5647.69,1602.91,982.756,1683.92,6356.96,8225.62,35669,855.81,3131.87,6131.89,14753.1,2136.78,753.95,1462.35,2855.68,2115.79,1345.35,1103.21,1566.32,760.8,5741.67,2690.75,2972.14,838.337,763.179,1116.5,678.233,866.635,10285.3,3238.32,2359.1,713.845,1558.74,2184.04,664.805,823.821,3020.25,3908.9,1653.61,2745.19
508.711,5105.73,1261.06,1106.21,2271.83,43656.7,20258.8,4588.63,1898.71,1184.3,2170.68,3583.83,886.368,2994.92,48649.7,1430.22,3900.16,3053.47,9862.24,7937.35,12167.6,4048.57,10215.6,2700.73,4442.3,971.372,5102.44,3909.16,18302,26279.9,4058.72,4271.1,2158.38,12873.8,3184.01,3137.24,1267.14,1029.75,1558.73,1513.81,1332.58,1211.88,1077.61,3254.55,3793.52,1951.39,1483.99,664.965,603.713,513.856,5255.2,3289.82,961.522,3329.84,1458.91,1292.41,1605.11,1331.46,702.716,1385.13,3535.36,2281.04,1574.64
3479.58,5229.77,353.838,3656.4,1149.22,42496.9,2476.69,14107.2,1098.93,1514.71,732.817,1056.14,4510.55,3043.73,41021.3,3994.15,3527.14,4560.5,5080.08,7207.45,7328.17,3655.39,632.903,3290.45,8139.09,832.096,2950.26,3589,13010.7,26106.6,1369.86,2603.99,17801.4,3663.83,2177.2,1551.32,857.722,958.476,1930.29,1142.01,611.955,1847.27,338.49,3029.97,4569.14,1895.66,254.363,881.125,541.982,607.013,3170.32,1806.48,5926.75,702.684,2138.27,934.492,1223.84,1452.01,1343.57,1125.55,3844.42,1740.08,1125.88
725.934,2114.41,2750.91,1728.67,813.138,68434.6,401.986,7256.72,2806.89,3212.37,4131.73,2348.31,3499.56,3361.74,43901.3,13783.7,4062.51,9787.76,5340.38,7585.4,5708.25,6257.99,4481.59,7825.98,2891.69,3545.31,4799.44,3670.19,8176.42,42486.1,3130.64,1513.27,7092.5,16440.6,1017.85,2761.14,2461.62,561.023,4668.24,1603.72,1705.06,531.989,392.214,4899.37,5293.59,3938.51,947.773,991.079,457.231,499.184,4902.25,5473.8,2792.17,2398.72,1084.94,2324.65,1393.12,3373.74,2074.19,482.936,7161.03,2547.53,2970.33
4975.57,2420.31,2231.72,1663.07,5102.73,53230.7,19933.2,1466.65,3058.12,2834.04,2416.54,1923.11,663.333,2368.74,54189.4,6243.41,3469.4,4643.68,2321.19,7471.49,15353.4,4606.77,4737.47,10517.7,3980.57,2746.53,4401.25,1671.81,15665.3,35502.1,3731.59,7101.95,10517.3,4232.43,3152.41,3262.06,1996.07,2419.7,2343.73,1286.5,1282.99,1276.82,616.882,3971.38,9534.46,714.125,1298.17,806.417,1329.94,1947.98,4071.64,5562.31,3633.79,1454.97,2313.02,1592.04,2969.57,446.768,2723.91,1142.78,7527.45,4131.78,1057.84
3113.82,1487.46,1280.33,2176.49,1733.26,48884.3,5888.88,11059.1,10338.6,783.741,1117.41,1967.73,2336.55,3128.11,43138.3,5761.27,7308.93,1356.11,10539.3,7648.97,8180.14,2728.93,8161.67,2680.14,4819.13,4901.23,2139.15,3327,16508.2,25749.7,1147.84,2233.13,16981.1,7906.71,3999.38,801.19,1778.27,936.176,4755.83,2648.38,1252.82,748.825,1120.36,3126.73,5338.8,1035.85,3282.87,276.451,467.633,844.999,2176.8,7655,508.654,3476.77,1723.87,695.716,2279.64,1234.28,653.077,603.463,4482.41,2366.62,1938.17
4388.32,3883.7,888.672,2803.98,2215.52,69487.3,1916.77,6739.94,1944.3,812.62,2419.94,1823.87,3428.86,6061.63,35358.8,13493.9,9058.75,1998.81,1497.21,9609.01,8982.32,8551.39,6342.22,986.928,8150.5,1408.3,6581.68,2495.03,9729.02,36381.7,1442.21,1460.68,8619.95,9940.44,3458.23,1459.35,2009.48,2013.09,1831.57,434.68,2266.71,535.182,623.359,5194.77,2782.8,3474,423.499,1308.28,668.067,379.657,1800.27,9993.7,1067.47,1339.05,1625.17,734.876,2759.94,703.129,1571.38,884.434,4991.87,4036.27,1243.2
