ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,bmsy,msy1,fmsy1,umsy1,q1,q2,q3,q4,q5,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,sel_g6,sel_sd6,f
3376.55,0.809901,0.306306,3376.55,3376.55,0.058824,1.47059, 31579.1, 31579.1, 9783.18, 2200.77, 0.3, 0.259182,0.0712918,0.0512285,0.0894233,0.0032963,0.00840599,19301.8,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,195.806
2195.5,0.676498,0.257738,2195.5,2195.5,0.058824,1.47059, 27058.8, 27058.8, 9183.58, 1406.57, 0.19, 0.173041,0.099359,0.0702651,0.121264,0.00417533,0.0119386,15150.8,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,259.673
2603.65,0.724977,0.290795,2603.65,2603.65,0.058824,1.47059, 26454.6, 26454.6, 8689.4, 1618.18, 0.24, 0.213372,0.0765469,0.0517789,0.0895646,0.00394959,0.00847652,19162.7,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,266.74
2663.63,0.749339,0.303116,2663.63,2663.63,0.058824,1.47059, 25330.5, 25330.5, 8297.86, 1649.62, 0.26, 0.228948,0.0782019,0.0526885,0.0917308,0.00354704,0.00874967,17362.3,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,268.5
2869.63,0.750735,0.301148,2869.63,2869.63,0.058824,1.47059, 27574.5, 27574.5, 8985.38, 1787.89, 0.26, 0.228948,0.0715037,0.0642257,0.112781,0.00301924,0.00994919,13950.1,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,255.867
2411.65,0.808263,0.280196,2411.65,2411.65,0.058824,1.47059, 26001.5, 26001.5, 8044.82, 1670.59, 0.27, 0.236621,0.0878564,0.0639658,0.112276,0.00388817,0.0106441,15086.9,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,262.4
3156.05,0.923306,0.3254,3156.05,3156.05,0.058824,1.47059, 26811.2, 26811.2, 7470.21, 2168.55, 0.41, 0.33635,0.0697022,0.0516548,0.0922368,0.0031548,0.00836278,20355,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,266.783
3378.7,0.827415,0.321208,3378.7,3378.7,0.058824,1.47059, 29299.6, 29299.6, 8927.07, 2165.02, 0.33, 0.281076,0.0649273,0.047208,0.0840283,0.00302668,0.00783544,21816.8,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,264.618
2860.38,0.820218,0.323827,2860.38,2860.38,0.058824,1.47059, 24487.1, 24487.1, 7476.69, 1811.15, 0.33, 0.281076,0.0837599,0.0642206,0.1117,0.00386551,0.0100395,13433.5,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,282.001
2783.94,0.455688,0.307724,2783.94,2783.94,0.058824,1.47059, 25846, 25846, 10186.8, 1072.49, 0.13, 0.121905,0.0743027,0.0585602,0.103323,0.00307885,0.00954504,17305.7,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,273.932
