rdev1_1958,rdev1_1959,rdev1_1960,rdev1_1961,rdev1_1962,rdev1_1963,rdev1_1964,rdev1_1965,rdev1_1966,rdev1_1967,rdev1_1968,rdev1_1969,rdev1_1970,rdev1_1971,rdev1_1972,rdev1_1973,rdev1_1974,rdev1_1975,rdev1_1976,rdev1_1977,rdev1_1978,rdev1_1979,rdev1_1980,rdev1_1981,rdev1_1982,rdev1_1983,rdev1_1984,rdev1_1985,rdev1_1986,rdev1_1987,rdev1_1988,rdev1_1989,rdev1_1990,rdev1_1991,rdev1_1992,rdev1_1993,rdev1_1994,rdev1_1995,rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014,rdev1_2015,rdev1_2016,rdev1_2017,rdev1_2018,rdev1_2019,rdev1_2020
-0.139089,-0.165389,-0.298059,-0.336892,-0.173463,2.84111,0.284625,0.163418,-0.07602,-0.352092,-0.626335,-0.538303,-0.320139,-0.0816409,2.69634,0.0765257,0.524992,0.510128,0.356662,0.953328,0.574398,0.840802,0.173325,0.402038,0.278233,-0.1037,0.166054,0.213154,1.49743,2.138,-0.221516,-0.0713425,0.874159,1.27436,-0.245994,-0.775609,-0.898877,-0.701367,-0.142345,-0.829222,-0.9545,-1.11217,-1.11537,0.209017,0.40931,-0.409217,-0.845547,-1.24699,-1.39305,-1.25216,-0.294358,0.668812,0.131646,-0.489765,-0.691204,-0.667682,-0.629868,-0.792061,-0.796493,-0.646523,0.347852,-0.110935,-0.232896
-0.187745,-0.00756047,0.021274,0.524013,-0.551923,3.0355,-1.18828,0.376001,0.616195,-0.785034,-0.271201,-0.309627,-0.816876,0.133855,2.81393,-0.475928,1.28598,0.959986,-0.204153,1.23399,1.03977,0.64117,-0.1392,-0.23957,1.22298,-0.11003,0.538678,-0.567419,1.77374,2.45247,-0.113094,-0.454279,1.04865,1.57201,0.545459,-0.223947,-1.08351,-1.75772,-1.20933,-0.451545,-1.13065,-1.08173,-0.905696,0.189544,0.182649,-0.508628,-0.0894198,-2.58762,-1.19321,-0.937774,-0.619363,0.887835,-0.364607,-0.768781,0.0791961,-0.734347,-0.930314,-1.04974,-0.573794,-0.417339,0.550315,-0.421264,-0.396197
0.144487,-0.574016,0.857455,-0.0605936,-0.925428,3.04105,-1.09761,-1.32496,0.497552,0.599381,-1.35101,-0.727415,0.176533,-1.24993,2.68416,0.505961,0.550799,-0.0342279,0.914694,1.14989,0.911928,0.116391,1.20948,0.508464,0.872241,-0.633789,0.343758,0.0474638,0.628306,2.76826,-1.62747,-0.246515,0.830964,1.45727,-0.515744,-1.47298,-1.29558,-0.204693,0.569494,-0.548981,-0.892756,-0.652031,-0.99647,0.35217,0.296481,0.119556,-0.353799,-0.817438,-1.70915,-1.14066,-0.59411,1.00314,0.351918,-0.917144,0.0392506,-0.708795,-0.445712,-1.18214,-0.470043,-0.869819,0.500592,0.562959,-0.697855
-0.349431,-0.805616,-0.854909,0.275755,-0.277477,2.91505,-0.627532,1.43126,-0.0679056,-0.943955,-0.281152,-0.726765,0.421801,-0.507588,2.96916,-0.256652,-0.262628,1.5872,0.0942097,0.81106,-0.219369,1.85238,-0.610494,0.751557,-0.507871,-0.997085,-0.458565,0.86986,1.12756,2.59459,-1.1354,0.16194,0.833813,1.71176,-0.220391,-1.26212,-0.599646,0.0696189,-0.230261,-0.683036,-0.881468,-0.530963,-1.25307,0.76806,0.0101304,0.109591,-1.15602,-1.24995,-0.86949,-1.36795,-1.12283,1.35102,0.195366,-0.121409,-1.31678,-0.535812,-0.198514,-1.38795,-1.17349,0.12565,0.383565,-0.476727,0.0301606
-1.73006,0.57618,-0.822231,-0.95324,-0.233598,2.72217,1.9544,0.469397,-0.413009,-0.885031,-0.279142,0.222249,-1.17481,0.0427346,2.83046,-0.696353,0.306835,0.0620948,1.23453,1.0174,1.44459,0.344179,1.26973,-0.0606625,0.436988,-1.08323,0.575534,0.309139,1.85283,2.21462,0.346684,0.397688,-0.284828,1.50101,0.103959,0.0891581,-0.817421,-1.02486,-0.610313,-0.639554,-0.767067,-0.86201,-0.979438,0.12587,0.279109,-0.38564,-0.659449,-1.46221,-1.55884,-1.72,0.605035,0.136648,-1.09342,0.14874,-0.676495,-0.797675,-0.580992,-0.76791,-1.40699,-0.728386,0.208631,-0.229554,-0.600156
0.3666,0.774056,-1.91923,0.416168,-0.741226,2.86912,0.0266124,1.76637,-0.785977,-0.465088,-1.19117,-0.825687,0.626107,0.23277,2.83378,0.50452,0.380176,0.63712,0.745016,1.0948,1.11141,0.415891,-1.33775,0.310711,1.21637,-1.06412,0.201583,0.397561,1.68546,2.38188,-0.565602,0.0767341,1.99897,0.418198,-0.102274,-0.441208,-1.03379,-0.922723,-0.222642,-0.747519,-1.37141,-0.266606,-1.96357,0.228242,0.639012,-0.240743,-2.2493,-1.00687,-1.49283,-1.37952,0.273519,-0.288933,0.899164,-1.23316,-0.120315,-0.948065,-0.67832,-0.507361,-0.584983,-0.762044,0.466311,-0.326382,-0.761747
-1.46962,-0.400546,-0.13739,-0.601971,-1.35618,3.07656,-2.06066,0.832607,-0.117244,0.0176871,0.269375,-0.295625,0.103316,0.0631393,2.63262,1.47417,0.25248,1.13181,0.525975,0.876905,0.592593,0.684538,0.350656,0.908128,-0.0874785,0.116304,0.419178,0.150924,0.951934,2.59986,-0.00808173,-0.735051,0.809718,1.65043,-1.13163,-0.133678,-0.248499,-1.72731,0.391462,-0.676994,-0.615722,-1.78045,-2.08527,0.439787,0.517176,0.221482,-1.20296,-1.15828,-1.93189,-1.8441,0.440373,0.550652,-0.122501,-0.274384,-1.0678,-0.305752,-0.817775,0.0667006,-0.41975,-1.87719,0.819333,-0.214196,-0.0606459
0.38705,-0.333594,-0.414717,-0.708824,0.412285,2.75714,1.7749,-0.834511,-0.09969,-0.175788,-0.335155,-0.563547,-1.62797,-0.355132,2.77499,0.614037,0.0264923,0.318018,-0.375413,0.793604,1.51385,0.310037,0.338012,1.13557,0.163933,-0.207151,0.264398,-0.703582,1.53396,2.3521,0.0993442,0.742878,1.13553,0.225286,-0.069323,-0.0351318,-0.52631,-0.333849,-0.365749,-0.965567,-0.9683,-0.973116,-1.70057,0.161623,1.03742,-1.55419,-0.956538,-1.43265,-0.932356,-0.550698,0.186554,0.498523,0.0727867,-0.842507,-0.378934,-0.752474,-0.129073,-2.02321,-0.215424,-1.08403,0.801065,0.201218,-1.16126
0.0848982,-0.653882,-0.803837,-0.273239,-0.50095,2.8385,0.722113,1.3523,1.28493,-1.29463,-0.939935,-0.374071,-0.202276,0.0894744,2.71346,0.700205,0.938144,-0.74633,1.30416,0.983618,1.05076,-0.0470436,1.0485,-0.0650841,0.521641,0.538533,-0.290543,0.151118,1.7529,2.19747,-0.913067,-0.247551,1.78115,1.01676,0.335185,-1.27261,-0.475312,-1.1169,0.508419,-0.0770053,-0.825557,-1.3402,-0.937305,0.0890346,0.624048,-1.01573,0.137765,-2.33667,-1.81102,-1.21937,-0.273097,0.984406,-1.72694,0.195151,-0.506379,-1.41377,-0.226934,-0.840462,-1.47701,-1.55602,0.449209,-0.18949,-0.389207
0.455081,0.332924,-1.14189,0.00717575,-0.228379,3.21728,-0.373227,0.884185,-0.358965,-1.23136,-0.140124,-0.422905,0.208364,0.778113,2.54168,1.57837,1.17987,-0.331313,-0.62026,1.23884,1.17139,1.12223,0.823364,-1.03702,1.07421,-0.681484,0.860425,-0.109565,1.25125,2.5702,-0.657688,-0.644963,1.13021,1.27275,0.216891,-0.645875,-0.32599,-0.324192,-0.418692,-1.85701,-0.205536,-1.64901,-1.4965,0.623787,-0.000408056,0.221441,-1.88307,-0.755151,-1.42723,-1.99235,-0.435929,1.27809,-0.95857,-0.731909,-0.53825,-1.33192,-0.00865607,-1.37608,-0.571914,-1.14667,0.583945,0.371456,-0.806177
