sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018,sbt1_2019,sbt1_2020,sbt1_2021
44925,45121.8,40226.9,32582.9,27193.8,23507.3,21657.8,53692.9,72551.9,71751.1,60196.7,45846.5,34833.7,27025,22293.4,20713.5,48171.9,60527.4,61913.6,56451.3,48457.7,44174.6,41550.4,40539.1,33916.8,29810.8,28095.1,25965.9,24667.3,24268.6,31773.2,48385.9,43112.5,37075.9,36380.7,39033.4,31220.2,23632.5,17777.4,15575.8,14892,13889.4,12555.2,11388.9,10517.4,11772.5,15141.3,17320.1,17568.3,16464.4,14609.2,12880.6,12783.6,16020.8,18992,19386.9,18809,18048.9,17143.8,15989.1,14787.6,14265,15991.4,18025,19301.8,20636
36191.7,35682.2,31562.5,25281.9,20879.5,19394,18533.3,43758.1,58225.5,56973.2,47438.5,36030,26568,20597.7,16399.1,15350.9,35499.1,43584.8,46988.7,45350.2,39756.3,36443.2,35876.3,34628.6,27492,21094.7,21034.3,20286.5,20321.8,19719.8,26172.7,41210.1,34711.3,28689.2,27935.2,30782.7,24624.6,18897.5,14074.8,12026.2,10324.6,9065.27,7884.96,7051.94,6658.03,7627.38,9644.72,10986.9,11811.9,11277.5,10233.4,9292.69,9209.8,11990,13868.2,13576.5,13725.2,13673.4,13121.8,12029.4,11120.5,11058.4,12871.5,14410.5,15150.8,16022.2
40942,38278.6,32333.2,24509.7,21765.5,20153.8,18616.8,48783.3,65457.7,62360.5,51857.8,39509.6,30085.8,22926.5,19213,17170.4,37065.1,45946.2,46131.6,39690.7,34101.9,32017.8,31584.5,29529.9,26580.9,24526.4,25407.1,23882.8,23026.8,22319.4,23323.1,44493.4,41525.7,35522.5,33554.1,35116.1,27077.2,19890.8,14039.1,12229.2,13082.8,13398.1,12630.1,11884.4,11222.2,12291.9,14562.8,16637.5,17437.3,16826,14999.5,13186.2,12430.7,15591.3,18784.2,18818.5,18895.3,18356.6,17432.7,15931.2,14601.6,13727.5,15051.3,17942.6,19162.7,19999.7
47150.7,48900,43861.7,34978.3,28007.7,24046.2,21554,48082.2,62003,63820.2,54721.3,41584.5,30929.1,22785.1,19635.7,18377,47023,59760.4,58945.8,56454.8,49199.8,43694.2,37786.6,40489.3,34516.7,30838.4,27664.9,23341.5,19454.6,19278.7,23341.4,42552.2,39315.1,34572.3,33465,37200.5,29942,20920.8,15040.5,13766.7,13474.9,12673.7,11235.4,10517.7,9785.37,12115.7,14751,16784.8,16715,15317.5,13582.2,11733.1,10715.4,15736.8,19813.6,20657.6,19800.1,18546.7,17644,15892.7,13969.1,13875.2,15486.4,16552.4,17362.3,18231.2
50112,54474.1,50205.2,43351,37304,31489.6,27634.2,49513.5,71493.3,75795.8,65963.5,50274.7,38813.6,31788,26305.5,23683.6,49775.5,59907.5,59335.1,51137.8,45174.2,41648.7,43472.2,42803.8,38974.7,35377.7,32947.3,28958.8,27182.3,26286.1,35509.6,52019.3,47517.7,42797.4,38876.9,39732.9,31674.2,25095.1,19686.7,17188.9,15339.1,13639,11976.7,10894.1,10063.1,10848.3,13176.9,14714.8,14936.3,13823.5,12002.8,10288.1,12045.8,14590.9,15129,15108.1,14724.1,14085,13399.5,12482.3,11235.3,10639.2,11802.8,13302.3,13950.1,14964.6
40294.8,40850.1,36599.8,32013,26396.7,23710.7,21615.2,43992.1,56600.1,60692.7,52185.7,38715.7,28639.5,21325.2,18684.9,18837.5,41744.6,52389.6,53392.9,47767.8,40993,37359.9,36456.3,34314.4,25954.4,20469,21309.9,20123.9,18951.5,18678.8,25607.6,40855.4,34428.4,28262.6,34358.5,37202.7,29078.2,21282.3,15250.7,12839.7,11636.2,10492.5,9133.05,8688.63,8042.78,8817.59,11881.9,14021.3,13984.9,12929.9,11310,9800.61,10516.8,11615.6,14703.5,15060.6,15208.7,14803.6,14030.2,13247.5,12443.8,12039.3,13477.4,14817.5,15086.9,15590.6
53743.5,55870.3,49652.1,39462.8,32334.5,26914.1,22352.7,59228.5,77151.6,76352.1,63742.8,47462.3,37358.1,29716.1,25574.6,24104.5,47098.1,62355.2,63844.6,61064.4,53793,48323.6,44072.9,40782.7,33280.4,29435.5,27324,24985.8,24078.8,23504.7,26484.3,48887.3,45794.2,38020.6,35818.9,40082.4,31227.4,23404.7,18317.8,15825.5,15654.5,15144.9,14086.6,12476.8,10680.4,11815.5,15189.1,18235.8,18538.1,17190.2,14798.6,12353,13303.3,16502.6,18414.4,18214.3,16872,16082.2,15093.3,14912.6,14790.2,13951.4,16735.5,19089,20355,21295.3
56242.8,54787.4,48642.7,39233.8,31646.1,26045.1,24397.2,53258.6,78468.7,79494.9,67744.1,51921.1,39758.3,30844.8,24412.9,20957.7,49830.1,63974.4,64352.7,56874.3,45736.8,38625.3,41124.8,41311.1,34689.4,33317.6,32955.6,30438.9,28820.3,26173.5,32311.2,52252.2,47187.3,43431.2,45205.2,43064.1,32694.6,24732.1,19318.4,17444.5,16366.4,14904.4,13220.2,11919.6,10606.6,11325,17172.1,19922.8,19747,18059.6,15896.2,14472.5,15431.2,18454.5,20741.8,20117.3,19138.8,18039.7,17618.8,16051.2,15099.2,14372.9,17524.2,21062.7,21816.8,22290.4
52177.7,48673.1,41511.1,31602.8,23864.3,19259.8,16312.2,42577.6,57705.3,61172.8,56895.4,44031,33346.8,25669.5,20634.3,19081.3,42199.9,52151.3,52909.8,45963.3,40606,37713.1,36959.9,33670.6,28393.8,23680.6,22054.8,21666.2,20444,19275.5,27412.5,42873.7,34226.7,25598.1,30152.7,33696.6,26113.5,18744.4,13555.6,11296.4,11981.5,12591.4,12192.6,11142.6,10225.5,10822.3,13829.8,14984.1,15867.6,14830,12784.6,10897,10599.3,14429.8,15625.3,15701.9,15250.7,14133.4,13430.6,12464.6,10928.1,9692.04,11028.3,12673,13433.5,14464.7
51638.3,49516.5,44315.5,37474.6,31045,26438.5,23739.2,62576.5,83645.2,83265.8,70585.7,54272.1,41377.8,32315.1,27060.2,26916.2,45917.2,59369.5,64638.9,57861.8,47060.7,41714.7,40618.1,41227.1,36611.3,31226.6,30706.9,28268.7,27903.4,27039,30485.9,49274.9,46858,39677.6,38736.2,39264.3,30819.2,22692.8,17577.1,15761.6,14623.7,12766.3,11415.2,10185.6,8974.18,10802.3,13269,15604.6,15606.3,14591.5,12868.9,10988.8,10407,15560.8,18166,17575.7,16511.8,15045.9,14491.2,13274.9,12270.1,11469.1,13276.8,16222.4,17305.7,18116.6
40419,41055.2,36998.1,30149.3,24633.1,21009,20455.7,51903.9,69701.7,67225,57183.4,43006.7,33914,27069.5,23035.2,21119,42831.7,51501.4,57839.9,55266.4,48249.2,42452.9,39518.3,36890.4,30956.9,25626.1,25126.7,23231.1,20999.2,19033.4,26148,44783.7,41470.6,36484.8,37079.1,38971.2,29399.6,21986.9,15899.2,14538.1,14260.2,13084.7,12197.2,11130.8,10178.9,12550.2,14617.3,15829.9,15554.1,14298.6,12442.1,11049.7,11556.1,13388,15488.7,16743,16359.1,15077.4,13586.1,12537.6,12645,12760.5,13692.5,14359.6,13762.9,13921.3
50137.7,46223.1,39536.7,32512.5,29211.3,25916.8,24712.1,53409.7,70112.2,68544.7,55238.1,41897.1,32343.8,25254.8,21307,19483.7,46141.9,59031.1,58576.5,56239.2,50006.1,45278.6,40872.6,40496,34846.4,29738.8,29689.2,27471.7,25546.3,25991.3,36803.1,52343.2,46657.9,40191.6,37773.9,40256.9,31054.2,23259.5,16594,14677.4,14952.9,14278.2,13404.6,12360.5,11815.8,14999.3,17370.3,19079.4,18516.4,17008.3,15162.9,13537.8,13624.6,15094.5,20219.9,22123.3,21547.6,20070.6,18981.6,17389.7,16031.5,16114.9,16851.5,20407.2,23072.9,24766.6
50056,49195.5,44069.1,36320.9,31889,27701.9,26224.2,57191,78008.1,76288.2,63160.2,46198.9,34933.8,26618.4,20844.8,18993.5,51331.4,67712.9,68614.1,63935.8,55177.7,53606.3,50199.4,48893.7,41112.2,34966.8,30741.4,27322.3,25419.6,24002.8,27030.9,47112.4,45216.1,42274.8,42030.8,43028.1,32862.7,24688.3,18264.2,16230.5,15281,13729.2,12395.6,10964.9,9580.69,12477.8,14596.5,15493.8,15722.2,14930.6,13344.2,11337.7,11408,13165.4,18241.7,19518.1,18538.1,17004.5,16889.2,16166.8,14457.4,13761.9,15129.8,18664.4,21022,22620.5
47087.5,46300,40639.9,31533.1,24875.1,20894.8,19922.1,53218.7,71860.6,70253.8,58490.1,44428.7,33760.5,25529.9,21441,23545.2,53471.3,70207.1,71120.6,63059.1,51694.4,44991.7,41299.2,43828.6,37914.4,32363,30847.6,27809,24532.5,24401.4,42605.4,60099.4,54428.7,48410.9,42415.8,39930.3,31046.4,23455.6,18208,16382.4,14648.4,14016.7,12878.5,12177.2,11718.6,11705.6,12197.7,15044.7,16349.6,16124.4,14547.4,12910,14744.9,17368.9,20021.4,19694.4,18598.5,19021.5,18886.1,17531.4,15534.7,14069.7,14524,17389.1,18391.1,19329.8
