TAC,B2021,B2022,B2022B2021,F2020,F2021,F2021F2020,BMSY,B0,B20220.4B0,B20220.2B0,B2022BMSY,B20220.8BMSY,B20220.4BMSY,FMSY,F2021FMSY,Bmin,B2022Bmin,BAvgS,B2022BAvgS,FAvgS,F2021FAvgS,BAvgL,B2022BAvgL,FAvgL,F2021FAvgL,
0,20636,23202,1.12435,0.0258504,0,0, 9783.18, 31579.1, 1.83682, 3.67363, 2.37162, 2.96453, 5.92906, 0.3, 0,10517.4,2.20605,33911.1,0.684202,0.149735,0,29617.6,0.783387,0.12577,0,
100,20636,23087.5,1.1188,0.0258504,0.00564096,0.218215, 9783.18, 31579.1, 1.82775, 3.6555, 2.35992, 2.9499, 5.89979, 0.3, 0.0188032,10517.4,2.19516,33911.1,0.680824,0.149735,0.0376731,29617.6,0.77952,0.12577,0.0448513,
200,20636,22973,1.11325,0.0258504,0.0113123,0.437605, 9783.18, 31579.1, 1.81869, 3.63737, 2.34821, 2.93527, 5.87053, 0.3, 0.0377076,10517.4,2.18428,33911.1,0.677448,0.149735,0.0755489,29617.6,0.775654,0.12577,0.089944,
300,20636,22858.5,1.1077,0.0258504,0.0170143,0.658182, 9783.18, 31579.1, 1.80962, 3.61925, 2.33651, 2.92064, 5.84128, 0.3, 0.0567142,10517.4,2.17339,33911.1,0.674072,0.149735,0.11363,29617.6,0.771789,0.12577,0.135281,
400,20636,22744.1,1.10215,0.0258504,0.0227473,0.879958, 9783.18, 31579.1, 1.80056, 3.60113, 2.32481, 2.90602, 5.81204, 0.3, 0.0758243,10517.4,2.16251,33911.1,0.670698,0.149735,0.151917,29617.6,0.767925,0.12577,0.180864,
500,20636,22629.7,1.09661,0.0258504,0.0285116,1.10295, 9783.18, 31579.1, 1.79151, 3.58301, 2.31312, 2.8914, 5.7828, 0.3, 0.0950388,10517.4,2.15163,33911.1,0.667324,0.149735,0.190415,29617.6,0.764063,0.12577,0.226696,
600,20636,22515.3,1.09107,0.0258504,0.0343077,1.32716, 9783.18, 31579.1, 1.78245, 3.56491, 2.30143, 2.87679, 5.75358, 0.3, 0.114359,10517.4,2.14076,33911.1,0.663951,0.149735,0.229123,29617.6,0.760201,0.12577,0.272781,
700,20636,22401,1.08553,0.0258504,0.0401357,1.55261, 9783.18, 31579.1, 1.7734, 3.5468, 2.28974, 2.86218, 5.72436, 0.3, 0.133786,10517.4,2.12989,33911.1,0.66058,0.149735,0.268046,29617.6,0.756341,0.12577,0.31912,
800,20636,22286.7,1.07999,0.0258504,0.0459962,1.77932, 9783.18, 31579.1, 1.76435, 3.52871, 2.27806, 2.84758, 5.69515, 0.3, 0.153321,10517.4,2.11902,33911.1,0.657209,0.149735,0.307185,29617.6,0.752482,0.12577,0.365716,
900,20636,22172.4,1.07445,0.0258504,0.0518894,2.00729, 9783.18, 31579.1, 1.75531, 3.51061, 2.26638, 2.83298, 5.66595, 0.3, 0.172965,10517.4,2.10816,33911.1,0.65384,0.149735,0.346542,29617.6,0.748624,0.12577,0.412573,
